day,p05,p50,p95,mean_path
163,880950.675327256,1111655.1349723917,1396354.7927524808,1122236.2591501016
164,882005.5402461976,1112465.5769507256,1398022.8504412265,1123072.855363159
165,880788.7012430482,1113481.3532246645,1400753.218947895,1123958.595335501
166,882717.7133497,1113545.8583270777,1401425.218219657,1124727.0936775487
167,882301.5097487129,1115091.2580771935,1403612.1312817475,1125552.0132252371
168,882556.8134348365,1115191.976204274,1406382.051108873,1126413.2922443387
169,881748.2630351315,1115441.294602695,1407300.8824691554,1127059.0861708939
170,881577.3843425646,1116079.1612788122,1410618.4690184165,1127996.0060994972
171,883069.087889487,1118251.9015863976,1414899.152618621,1128757.5143208676
172,883379.9697821065,1118320.520834546,1417228.1161934684,1129621.248611549
173,883324.9239774492,1118990.0639022624,1418520.006923531,1130483.758968721
174,883685.7686189358,1119192.093037764,1418702.786423339,1131355.094245591
175,883385.4539773752,1121198.7350785008,1420408.0271646162,1132380.8016028572
176,883924.1047976884,1121002.8944516643,1421065.5782817996,1133241.3678595335
177,881831.7586471468,1121419.8004145618,1423838.7914958932,1134135.6667155789
178,881113.0724611173,1121811.814194149,1429318.0712226434,1134959.2943834986
179,881753.2753796674,1122236.641835919,1428875.458791468,1135779.721402357
180,881546.691259344,1123034.966836745,1432469.2480232783,1136441.34862521
181,879666.1745755622,1123653.7523816852,1431601.5679589876,1137180.0078394022
182,879875.6034538633,1125155.2778801657,1432594.117903285,1138002.4110140076
183,880725.1507989289,1125679.6718907747,1435021.131319178,1138875.417776717
184,880135.0387557027,1126116.7416753694,1438724.634263058,1139696.2937238216
185,881910.5960243167,1127653.2797116735,1437785.9437246714,1140563.1515131623
186,881744.2277558116,1128772.0702225715,1442368.9068423253,1141556.3692786067
187,882332.8415260974,1129689.3655888487,1443672.3017041865,1142315.878980444
188,882065.2833749072,1129550.7954135526,1445592.365216111,1143004.5749953908
189,880188.2817710957,1130572.8946324592,1449432.9220110832,1143762.3502380347
190,882571.5165879015,1129893.4374741637,1448834.8471304788,1144654.3837307766
191,881687.7876458594,1131525.0372194757,1450894.7664070937,1145474.0602154343
192,882582.8909851277,1132978.0829779676,1452216.4375941905,1146402.8158450385
193,883242.485123966,1133827.5706628433,1455644.1236918669,1147303.703741456
194,882080.5011524854,1134760.9600878619,1456231.111151159,1147986.8425149797
195,882590.9734669764,1135158.8402564889,1456409.8413552197,1148805.1895703392
196,883070.3547060777,1135404.1828157238,1461436.7515554882,1149709.5869108748
197,882775.9275483467,1137182.0747082825,1461506.1216671588,1150500.393626736
198,881873.9997123715,1136329.7094509583,1465708.055468305,1150931.961721545
199,881732.7006439975,1137430.8676814465,1465741.1726736114,1151818.6003939123
200,880747.4476756749,1139832.6837518015,1465544.2603799656,1152674.2506368775
201,881043.0868302976,1139671.571505356,1469632.0664815765,1153471.786915271
202,880918.7334340507,1141113.0497508412,1471783.3183180345,1154267.4586485932
203,881210.1786691701,1142102.2979962227,1476189.083880751,1155285.851129842
