Date,AAPL,AMZN,CAT,JNJ,JPM,MSFT,NEE,NVDA,PG,XOM,^GSPC
2021-09-14,109296300,38738000,3757600,5259600,11685600,21853400,4658200,199755000,5831800,19940300,3670460000
2021-09-15,83281300,59150000,3342700,7935300,11691500,28356300,5707000,166538000,6237100,23240900,4032020000
2021-09-16,68034100,51672000,3120100,5665400,10880900,19550800,5380600,156033000,6142100,17907200,3984560000
2021-09-17,129868800,92332000,6351100,13419800,25581600,41372500,15390400,294503000,18737400,30000400,7289530000
2021-09-20,123478900,93382000,9151100,7270800,15819900,38278700,8994100,349440000,10238700,27555100,4898070000
2021-09-21,75834000,55618000,5699900,6663600,8999900,22364100,6450700,204688000,6651300,19696800,3920920000
2021-09-22,76404300,48228000,3924400,5657100,11236200,26626300,5662200,268726000,6332500,25690600,3939170000
2021-09-23,64838200,47588000,3367800,4697900,12336100,18604600,6414300,248555000,5171200,23069400,3916350000
2021-09-24,53477900,42324000,2199500,4399300,10102400,14999000,6113800,217655000,5009400,22328600,3384290000
2021-09-27,74150700,72690000,3033100,5775500,13220900,23571700,8600900,245215000,5749700,32972200,4058650000
2021-09-28,108972300,88616000,3247500,7610400,13387900,43186200,9257400,343069000,7015300,37619300,4416550000
2021-09-29,74602000,51246000,2954700,5124100,7777100,26353700,7496100,218394000,5460000,23422800,3712660000
2021-09-30,89056700,56848000,4978100,6972300,13161200,32343600,10186800,221009000,6934900,31289600,4448140000
2021-10-01,94639600,56712000,3695500,8568300,11285000,30086300,7961100,240978000,5587200,24407300,4010370000
2021-10-04,98322000,90462000,2864600,8620700,14120000,31350700,6027800,345635000,5816000,33946700,4307870000
2021-10-05,80861100,65384000,3074600,5129000,12292900,24993000,5434600,279282000,6902700,29641600,3902890000
2021-10-06,83221100,50660000,3777700,7312600,8692600,28002600,6876200,297202000,5332900,25284900,4009630000
2021-10-07,61732700,48182000,3510500,5309200,10195400,20430500,5753200,256919000,5334600,19513600,3843740000
2021-10-08,58773200,39964000,2713200,4343200,8190100,17685700,3592900,151258000,6131800,22186900,3280160000
2021-10-11,64452200,40684000,2015200,4101600,12154700,19298600,8798700,163388000,5995600,22121500,3281970000
2021-10-12,73035900,36392000,4706700,6686400,13032600,17974100,7791200,162134000,6734800,20198600,3558450000
2021-10-13,78762700,48402000,3253200,6901100,22753500,23416300,6260100,180652000,5689800,14991700,3620070000
2021-10-14,69907100,42190000,5212900,4579200,15176800,27262900,6486000,243589000,6777800,18594500,3598280000
2021-10-15,67940300,103598000,4736300,6918400,14267400,25384800,14634200,226994000,6923700,16092600,3819380000
2021-10-18,85589200,63482000,2809400,7465500,12672900,22729300,4942100,189494000,9119000,18282800,3662010000
2021-10-19,76378900,47722000,2626900,10081300,8053900,17682100,5717500,161473000,9555300,18933200,3459130000
2021-10-20,58418800,42796000,2936000,6003200,8185600,16537100,6942600,146276000,7352700,14305200,3670760000
2021-10-21,61421000,37628000,3071300,4524100,8415200,16918100,4945000,187590000,6545500,16564600,3822330000
2021-10-22,58883400,62782000,2632400,4304300,8817900,17449300,4732400,249384000,5265000,14266800,3758220000
2021-10-25,50720600,44520000,3294700,6715400,10159200,17554500,3987300,230235000,5382100,17939800,3899400000
2021-10-26,60893400,53966000,2933600,6939100,8015100,28107300,6969100,485898000,6234900,25585100,3879740000
2021-10-27,56094900,54044000,3406700,7018800,9847000,52588700,4356900,245990000,9643500,21764500,4226050000
2021-10-28,100077900,114174000,4462700,6278800,7212900,26297900,6568400,234204000,4538500,16626400,4132950000
2021-10-29,124953200,129722000,4292200,8526800,8140100,34766000,7792600,292503000,6239500,23966300,4510200000
2021-11-01,74588300,72178000,3215200,5846400,7435500,27073200,5135200,265740000,5038900,19656400,3971540000
2021-11-02,69122000,52552000,3429600,8450600,7173800,26487100,7266400,294112000,9954300,16300000,3975250000
2021-11-03,54511500,67944000,3137000,6717800,8402700,21500100,5723200,239910000,7620100,17372800,4319660000
